,time,trackID,ERK_KTR,ndbErk,posx,posy,posz,meas.bin,ERK_KTR.resc,ERK_KTR.bin
3105,111,27,0.8926,0.0,13.3875591229322,14.3030387890195,-0.316190616642465,0,0.0,0
3106,112,27,0.8752,0.0,13.5984509215868,14.3506535181118,-0.351960835956193,0,0.0,0
3107,113,27,0.8717,0.0,13.8037628200557,14.3135577719873,-0.282816406554871,0,0.0,0
3108,114,27,0.8792,0.0,13.8652038200684,14.2149003955494,-0.081328274058187,0,0.0,0
3109,115,27,0.8632,0.0,13.7761151819302,14.2009966015059,0.245598929721084,0,0.0,0
3110,116,27,0.8587,0.0,13.6344485681076,14.2615595793314,0.641394326951164,0,0.0,0
3111,117,27,0.8699,0.0,13.5563937974189,14.3193711058481,1.06625430767851,0,0.0,0
3112,118,27,0.8462,0.0,13.4626732749514,14.3328700042154,1.42194462290886,0,0.0,0
3113,119,27,0.8732,0.0,13.2749968159422,14.2594146223723,1.57255527322341,0,0.0,0
3114,120,27,0.8901,0.0,13.0489065251679,14.1044329296198,1.58185415140194,0,0.016900000000000026,0
3115,121,27,0.8924,0.022652538,12.7849092340492,13.9024774145051,1.40596068809724,0,0.02069999999999994,0
3116,122,27,0.9648,0.33540374,12.6855603166379,13.9020286001172,1.31421311156481,1,0.0645,0
3117,123,27,0.9344,0.417975873,12.9879233720348,14.2608051195634,1.76598605796106,1,0.08250000000000002,0
3118,124,27,0.9457,0.417975873,13.3619261073486,14.6150014145813,2.30794186949034,1,0.08250000000000002,0
3119,125,27,0.9605,0.464742422,13.5153295429504,14.7477168820056,2.58653573008187,1,0.08699999999999997,0
3120,1,28,0.8948,0.0,20.2536836404256,1.85061476737366,0.416789218742935,0,0.019199999999999995,0
3121,2,28,0.9152,0.0,20.3369936530734,1.58312238158969,0.737990596565385,0,0.0018000000000000238,0
3122,3,28,0.8756,0.0,20.4279313236612,1.37001799671853,0.411484964418067,0,0.0,0
3123,4,28,0.893,0.0,20.4079736088063,1.29448148145834,0.0054799258980776,0,0.0,0
3124,5,28,0.7767,0.0,20.3530829768966,1.30149328391452,-0.0971368836807553,0,0.0,0
3125,6,28,0.9248,0.0,20.3863170712235,1.32096309413943,-0.0564494497674787,0,0.021299999999999986,0
3126,7,28,0.92614,0.0,20.3993013401618,1.32350245789297,-0.0454414029592519,0,0.021239999999999926,0
3127,8,28,0.92748,0.0,20.4122856091001,1.3260418216465,-0.0344333561510251,0,0.022579999999999933,0
3128,9,28,0.92882,0.0,20.4252698780384,1.32858118540004,-0.0234253093427984,0,0.01532,0
3129,10,28,0.93016,0.0,20.4382541469767,1.33112054915357,-0.0124172625345716,0,0.012159999999999949,0
3130,11,28,0.9315,0.0,20.451238415915,1.33365991290711,-0.0014092157263448,0,0.013499999999999956,0
3131,12,28,0.9379,0.0,20.4601564526382,1.3892838083558,0.0123446760401612,0,0.011399999999999966,0
3132,13,28,0.8963,0.0,20.381754215837,1.37882027240951,-0.0449134612477482,0,0.0,0
3133,14,28,0.9049,0.0,20.3474096637121,1.32513854479382,-0.075650040949298,0,0.0,0
3134,15,28,0.9135,0.0,20.3130651115871,1.27145681717813,-0.106386620650848,0,0.0,0
3135,16,28,0.92205,0.0,20.2845964108722,1.21862455511292,-0.137541311921936,0,0.0,0
3136,17,28,0.9306,0.0,20.2561277101573,1.16579229304771,-0.168696003193024,0,0.0,0
3137,18,28,0.8081,0.0,20.2847905767524,1.15456399523662,-0.183766219595098,0,0.0017800000000000038,0
3138,19,28,0.9554,0.0,20.4364286516692,1.22181677623615,-0.154547088979223,0,0.01863999999999999,0
